"post_id","date","platform","content_type","caption","hashtags","reach","impressions","likes","comments","shares","followers_start","new_followers","lost_followers","sentiment","posted_hour"
"post_00026","2025-03-25","LinkedIn","Text","Synthetic social media update","#marketing #business","12225","29742","1302","68","119","11008","41","14","neutral","7"
"post_00027","2026-02-23","LinkedIn","Live","Synthetic social media update","#analytics #marketing","9652","17135","738","32","108","10648","23","8","positive","16"
"post_00028","2025-10-26","LinkedIn","Carousel","Synthetic social media update","#marketing #analytics","22814","28737","741","70","86","13588","24","8","negative","16"
"post_00029","2025-08-26","YouTube","Carousel","Synthetic social media update","#marketing #news","18548","39531","1512","207","109","12856","52","17","positive","2"
"post_00030","2025-03-03","LinkedIn","Carousel","Synthetic social media update","#news #marketing","11188","15860","336","45","25","10744","11","4","negative","4"
"post_00031","2025-10-20","Instagram","Live","Synthetic social media update","#community #analytics","20018","48141","919","131","106","13516","32","10","positive","8"
"post_00032","2025-10-07","Facebook","Carousel","Synthetic social media update","#growth #analytics","23925","42489","1779","224","209","13360","60","20","positive","15"
"post_00033","2026-03-20","X/Twitter","Video","Synthetic social media update","#growth #analytics","16671","33758","1584","239","113","10948","55","18","positive","18"
"post_00034","2025-07-25","LinkedIn","Reel","Synthetic social media update","#community #technology","2199","4371","139","15","7","12472","5","2","negative","9"
"post_00035","2025-01-01","LinkedIn","Reel","Synthetic social media update","#marketing #technology","15042","22018","1311","139","56","10012","44","14","positive","19"
"post_00036","2025-07-30","LinkedIn","Live","Synthetic social media update","#growth #business","7044","14762","745","135","84","12532","26","9","neutral","20"
"post_00037","2025-08-18","YouTube","Image","Synthetic social media update","#learning #marketing","27236","38555","2180","408","227","12760","78","26","positive","9"
"post_00038","2025-03-03","YouTube","Image","Synthetic social media update","#analytics #community","19933","47002","633","49","94","10744","20","7","positive","19"
"post_00039","2025-07-01","Facebook","Image","Synthetic social media update","#business #technology","9364","19771","689","33","21","12184","22","7","negative","2"
"post_00040","2025-08-30","X/Twitter","Reel","Synthetic social media update","#growth #analytics","27136","47921","2284","417","173","12904","81","27","negative","20"
"post_00041","2025-12-28","LinkedIn","Live","Synthetic social media update","#community #marketing","20218","48261","751","126","114","14344","26","9","negative","4"
"post_00042","2025-11-20","LinkedIn","Short","Synthetic social media update","#technology #community","13871","32581","1422","101","93","13888","46","15","negative","8"
"post_00043","2025-09-19","LinkedIn","Live","Synthetic social media update","#analytics #growth","25557","34383","1477","260","119","13144","52","17","positive","23"
"post_00044","2025-03-02","LinkedIn","Reel","Synthetic social media update","#learning #news","1888","2608","140","20","10","10732","5","2","negative","4"
"post_00045","2025-12-06","Instagram","Video","Synthetic social media update","#growth #technology","12086","19174","908","179","111","14080","33","11","neutral","23"
"post_00046","2025-08-08","X/Twitter","Reel","Synthetic social media update","#business #marketing","9218","23508","923","174","133","12640","33","11","positive","7"
"post_00047","2025-04-19","Facebook","Short","Synthetic social media update","#growth #community","2589","5946","249","28","35","11308","8","3","negative","21"
"post_00048","2025-04-24","LinkedIn","Image","Synthetic social media update","#marketing #community","18798","40389","1255","204","112","11368","44","15","neutral","6"
"post_00049","2025-06-17","Instagram","Image","Synthetic social media update","#analytics #business","15331","33100","1089","105","99","12016","36","12","positive","3"
"post_00050","2025-10-13","X/Twitter","Carousel","Synthetic social media update","#analytics #marketing","28841","51144","1646","141","109","13432","54","18","negative","13"
"post_00051","2025-02-20","Instagram","Live","Synthetic social media update","#marketing #business","22586","40704","1768","206","262","10612","59","20","neutral","19"
"post_00052","2025-02-20","Facebook","Video","Synthetic social media update","#learning #marketing","28494","49274","1080","94","134","10612","35","12","negative","13"
"post_00053","2025-08-06","LinkedIn","Video","Synthetic social media update","#news #learning","8615","18315","586","73","42","12616","20","7","neutral","6"
"post_00054","2025-03-21","Facebook","Image","Synthetic social media update","#business #learning","6005","10275","288","21","36","10960","9","3","positive","21"
"post_00055","2025-01-17","Facebook","Image","Synthetic social media update","#business #marketing","2231","5383","94","12","11","10204","3","1","negative","20"
"post_00056","2025-01-20","Facebook","Live","Synthetic social media update","#technology #growth","3221","4423","129","26","9","10240","5","2","negative","6"
"post_00057","2025-02-05","Instagram","Video","Synthetic social media update","#analytics #community","19817","37905","1589","173","64","10432","53","18","positive","17"
"post_00058","2026-02-07","Facebook","Carousel","Synthetic social media update","#news #business","15691","31724","516","99","35","10456","18","6","neutral","2"
"post_00059","2026-02-16","LinkedIn","Reel","Synthetic social media update","#news #technology","7713","9766","609","81","32","10564","21","7","negative","1"
"post_00060","2025-04-17","LinkedIn","Text","Synthetic social media update","#learning #news","24556","36770","2474","175","358","11284","79","26","positive","9"
"post_00061","2025-11-27","Facebook","Video","Synthetic social media update","#news #community","29309","49985","1996","146","168","13972","64","21","positive","0"
"post_00062","2025-03-22","X/Twitter","Text","Synthetic social media update","#marketing #learning","11592","28895","557","84","49","10972","19","6","positive","0"
"post_00063","2025-01-21","YouTube","Image","Synthetic social media update","#technology #marketing","15165","32528","1629","316","104","10252","58","19","neutral","14"
"post_00064","2026-01-19","Instagram","Image","Synthetic social media update","#technology #growth","12107","28495","764","115","54","10228","26","9","positive","18"
"post_00065","2025-07-03","Instagram","Short","Synthetic social media update","#learning #growth","26238","58316","1914","140","204","12208","62","21","positive","14"
"post_00066","2025-03-30","X/Twitter","Live","Synthetic social media update","#learning #analytics","11722","24806","796","90","96","11068","27","9","positive","0"
"post_00067","2025-08-22","LinkedIn","Short","Synthetic social media update","#analytics #business","6728","14028","263","37","26","12808","9","3","negative","22"
"post_00068","2025-09-01","YouTube","Text","Synthetic social media update","#learning #technology","19372","39272","1945","214","65","12928","65","22","positive","22"
"post_00069","2025-12-13","YouTube","Reel","Synthetic social media update","#technology #analytics","13426","31184","510","29","75","14164","16","5","positive","21"
"post_00070","2026-03-11","LinkedIn","Text","Synthetic social media update","#news #growth","8025","18718","535","58","21","10840","18","6","negative","18"
"post_00071","2026-02-22","X/Twitter","Live","Synthetic social media update","#news #community","2529","4951","242","14","32","10636","8","3","negative","11"
"post_00072","2025-01-17","Facebook","Image","Synthetic social media update","#analytics #technology","8174","13359","335","36","38","10204","11","4","negative","2"
"post_00073","2025-01-05","X/Twitter","Short","Synthetic social media update","#analytics #marketing","29892","74625","2199","338","297","10060","76","25","negative","4"
"post_00074","2025-07-26","YouTube","Video","Synthetic social media update","#analytics #growth","1964","2453","73","8","9","12484","2","1","negative","14"
"post_00075","2026-03-23","YouTube","Carousel","Synthetic social media update","#community #analytics","26312","52511","1893","342","293","10984","67","22","positive","2"
"post_00076","2025-01-19","X/Twitter","Short","Synthetic social media update","#growth #community","22619","51914","1047","198","63","10228","37","12","negative","12"
"post_00077","2025-02-20","YouTube","Live","Synthetic social media update","#community #business","2020","4318","170","13","11","10612","5","2","neutral","3"
"post_00078","2025-11-24","X/Twitter","Text","Synthetic social media update","#growth #technology","4406","10528","379","36","32","13936","12","4","negative","11"
"post_00079","2025-10-30","X/Twitter","Video","Synthetic social media update","#business #analytics","4905","6499","415","56","40","13636","14","5","negative","19"
"post_00080","2025-03-14","Instagram","Live","Synthetic social media update","#marketing #analytics","15408","24460","1289","143","206","10876","43","14","neutral","4"
"post_00081","2025-05-22","X/Twitter","Carousel","Synthetic social media update","#marketing #analytics","12185","24746","733","47","28","11704","23","8","neutral","1"
"post_00082","2026-01-23","Facebook","Carousel","Synthetic social media update","#business #technology","25440","38742","1498","77","54","10276","47","16","positive","8"
"post_00083","2025-02-08","X/Twitter","Video","Synthetic social media update","#marketing #news","29880","44462","2173","329","91","10468","75","25","negative","10"
"post_00084","2025-04-26","YouTube","Video","Synthetic social media update","#learning #growth","5687","10294","199","23","27","11392","7","2","neutral","18"
"post_00085","2025-08-29","Facebook","Live","Synthetic social media update","#business #analytics","29343","63322","2410","405","279","12892","84","28","positive","3"
"post_00086","2025-10-01","Facebook","Short","Synthetic social media update","#community #analytics","4231","7548","331","35","29","13288","11","4","negative","20"
"post_00087","2025-11-07","Instagram","Live","Synthetic social media update","#growth #business","23981","33764","1676","164","209","13732","55","18","positive","18"
"post_00088","2026-02-15","YouTube","Text","Synthetic social media update","#business #marketing","24927","60024","1855","310","90","10552","65","22","neutral","8"
"post_00089","2025-11-30","Instagram","Carousel","Synthetic social media update","#analytics #community","25536","50041","2508","336","148","14008","85","28","positive","13"
"post_00090","2025-10-21","Instagram","Carousel","Synthetic social media update","#growth #analytics","3212","4981","216","32","28","13528","7","2","neutral","11"
"post_00091","2025-05-13","Instagram","Reel","Synthetic social media update","#analytics #technology","7805","10446","458","76","31","11596","16","5","negative","13"
"post_00092","2026-01-04","YouTube","Text","Synthetic social media update","#learning #growth","4428","7175","362","53","48","10048","12","4","positive","22"
"post_00093","2026-02-19","Instagram","Video","Synthetic social media update","#analytics #marketing","4966","8715","503","87","17","10600","18","6","neutral","8"
"post_00094","2026-02-07","Instagram","Live","Synthetic social media update","#growth #community","2545","6029","211","26","20","10456","7","2","neutral","11"
"post_00095","2025-01-28","YouTube","Image","Synthetic social media update","#community #technology","22720","42084","1355","146","100","10336","45","15","negative","10"
"post_00096","2026-01-02","LinkedIn","Reel","Synthetic social media update","#learning #community","17442","39643","739","134","111","10024","26","9","positive","8"
"post_00097","2025-08-29","X/Twitter","Live","Synthetic social media update","#marketing #growth","20478","25129","1896","191","107","12892","63","21","negative","10"
"post_00098","2025-02-24","Instagram","Live","Synthetic social media update","#learning #marketing","26517","63049","2110","88","119","10660","66","22","negative","18"
"post_00099","2025-08-02","Facebook","Reel","Synthetic social media update","#business #analytics","17106","40093","516","67","55","12568","17","6","negative","21"
"post_00100","2025-12-22","X/Twitter","Short","Synthetic social media update","#growth #analytics","28823","47286","1538","159","124","14272","51","17","neutral","23"
"post_00101","2026-03-27","YouTube","Carousel","Synthetic social media update","#business #learning","9985","18004","820","155","94","11032","29","10","positive","22"
"post_00102","2025-03-06","X/Twitter","Image","Synthetic social media update","#analytics #technology","26339","38320","862","63","130","10780","28","9","positive","16"
"post_00103","2025-04-11","X/Twitter","Carousel","Synthetic social media update","#marketing #analytics","20560","49248","1466","157","132","11212","49","16","positive","14"
"post_00104","2025-04-13","X/Twitter","Live","Synthetic social media update","#business #news","23523","49834","1176","80","119","11236","38","13","negative","21"
"post_00105","2025-02-03","LinkedIn","Video","Synthetic social media update","#community #learning","22926","47356","870","108","109","10408","29","10","negative","22"
"post_00106","2025-02-07","Facebook","Video","Synthetic social media update","#learning #growth","22618","37792","1024","177","57","10456","36","12","neutral","19"
"post_00107","2025-04-17","Facebook","Short","Synthetic social media update","#business #news","21933","33179","1567","262","89","11284","55","18","negative","14"
"post_00108","2026-01-26","X/Twitter","Video","Synthetic social media update","#business #technology","18273","31252","1007","145","98","10312","35","12","positive","13"
"post_00109","2026-03-27","X/Twitter","Short","Synthetic social media update","#business #analytics","15660","21618","1426","153","88","11032","47","16","negative","14"
"post_00110","2025-07-09","LinkedIn","Video","Synthetic social media update","#community #growth","20425","28739","1603","92","112","12280","51","17","negative","5"
"post_00111","2025-05-19","YouTube","Reel","Synthetic social media update","#community #growth","2915","3701","186","13","28","11668","6","2","negative","10"
"post_00112","2025-09-05","YouTube","Short","Synthetic social media update","#community #analytics","24289","40615","1804","252","258","12976","62","21","negative","23"
"post_00113","2025-02-15","Facebook","Image","Synthetic social media update","#learning #community","6994","14350","703","79","59","10552","23","8","neutral","23"
"post_00114","2025-04-04","YouTube","Carousel","Synthetic social media update","#business #news","8846","21297","740","49","104","11128","24","8","positive","2"
"post_00115","2025-09-20","Facebook","Video","Synthetic social media update","#news #community","2228","2858","85","5","8","13156","3","1","negative","2"
"post_00116","2026-03-23","YouTube","Live","Synthetic social media update","#learning #business","5014","11547","452","36","65","10984","15","5","positive","4"
"post_00117","2026-03-18","X/Twitter","Carousel","Synthetic social media update","#business #technology","7553","14251","350","67","43","10924","13","4","positive","3"
"post_00118","2025-06-25","X/Twitter","Image","Synthetic social media update","#analytics #growth","12062","24525","948","93","75","12112","31","10","positive","2"
"post_00119","2025-12-03","Instagram","Carousel","Synthetic social media update","#news #business","1215","3139","131","13","7","14044","4","1","neutral","12"
"post_00120","2025-07-13","YouTube","Image","Synthetic social media update","#news #community","4319","8032","408","28","19","12328","13","4","negative","20"
"post_00121","2025-03-11","Facebook","Live","Synthetic social media update","#analytics #news","22187","51718","1031","79","127","10840","33","11","negative","12"
"post_00122","2025-06-27","LinkedIn","Video","Synthetic social media update","#learning #business","13916","17731","1498","160","206","12136","50","17","negative","6"
"post_00123","2026-01-17","X/Twitter","Short","Synthetic social media update","#learning #technology","21496","29947","808","125","59","10204","28","9","negative","13"
"post_00124","2025-07-17","YouTube","Live","Synthetic social media update","#technology #business","28655","64924","1551","72","133","12376","49","16","negative","19"
"post_00125","2025-12-03","X/Twitter","Carousel","Synthetic social media update","#news #business","4763","7271","356","15","28","14044","11","4","neutral","3"
"post_00126","2025-06-25","YouTube","Image","Synthetic social media update","#news #business","29993","45215","1821","282","289","12112","63","21","positive","15"
"post_00127","2025-08-12","LinkedIn","Text","Synthetic social media update","#learning #analytics","3803","8440","162","31","16","12688","6","2","positive","3"
"post_00128","2026-02-28","LinkedIn","Image","Synthetic social media update","#business #news","16039","38142","724","75","46","10708","24","8","positive","3"
"post_00129","2025-02-08","YouTube","Image","Synthetic social media update","#learning #growth","6523","14749","242","16","29","10468","8","3","negative","13"
"post_00130","2025-09-23","Instagram","Video","Synthetic social media update","#news #analytics","10004","17056","972","49","47","13192","31","10","positive","23"
"post_00131","2025-10-02","Facebook","Text","Synthetic social media update","#news #learning","7210","15667","445","38","61","13300","14","5","positive","19"
"post_00132","2026-03-25","Facebook","Video","Synthetic social media update","#marketing #community","17010","21376","721","121","77","11008","25","8","positive","0"
"post_00133","2025-01-03","YouTube","Short","Synthetic social media update","#growth #community","17255","43441","1730","286","263","10036","60","20","positive","16"
"post_00134","2025-02-25","YouTube","Live","Synthetic social media update","#learning #growth","16772","38434","1303","195","40","10672","45","15","negative","19"
"post_00135","2026-01-03","YouTube","Live","Synthetic social media update","#marketing #news","17915","35873","718","133","34","10036","26","9","negative","3"
"post_00136","2025-01-17","Facebook","Image","Synthetic social media update","#technology #news","28977","56228","1654","257","156","10204","57","19","neutral","8"
"post_00137","2025-10-07","YouTube","Live","Synthetic social media update","#growth #learning","20956","40680","1852","239","122","13360","63","21","positive","22"
"post_00138","2025-08-02","X/Twitter","Short","Synthetic social media update","#technology #learning","6830","13694","577","48","79","12568","19","6","positive","10"
"post_00139","2026-03-19","X/Twitter","Carousel","Synthetic social media update","#analytics #learning","19621","48425","1597","104","162","10936","51","17","negative","4"
"post_00140","2026-02-02","Instagram","Reel","Synthetic social media update","#technology #learning","6202","9695","418","46","66","10396","14","5","neutral","20"
"post_00141","2025-09-16","X/Twitter","Text","Synthetic social media update","#business #news","20921","29527","1031","152","145","13108","35","12","neutral","6"
"post_00142","2025-02-03","LinkedIn","Live","Synthetic social media update","#business #technology","11513","19842","1237","242","53","10408","44","15","positive","1"
"post_00143","2025-09-18","Instagram","Carousel","Synthetic social media update","#business #growth","3372","4363","176","16","14","13132","6","2","positive","17"
"post_00144","2025-04-20","YouTube","Reel","Synthetic social media update","#technology #community","26104","34912","1504","70","192","11320","47","16","negative","9"
"post_00145","2026-03-18","YouTube","Carousel","Synthetic social media update","#news #analytics","4831","6346","519","44","41","10924","17","6","neutral","5"
"post_00146","2025-08-14","YouTube","Text","Synthetic social media update","#business #growth","9147","17835","685","56","46","12712","22","7","positive","9"
"post_00147","2026-02-25","YouTube","Short","Synthetic social media update","#marketing #learning","2297","3491","214","20","12","10672","7","2","neutral","0"
"post_00148","2026-02-26","YouTube","Image","Synthetic social media update","#learning #community","3214","4720","166","23","21","10684","6","2","negative","2"
"post_00149","2025-01-01","LinkedIn","Video","Synthetic social media update","#community #news","7923","14392","808","119","60","10012","28","9","negative","7"
"post_00150","2025-02-09","X/Twitter","Video","Synthetic social media update","#marketing #analytics","14857","29820","1231","151","194","10480","41","14","negative","8"
"post_00151","2025-10-11","Instagram","Video","Synthetic social media update","#community #news","9251","12877","479","45","54","13408","16","5","positive","0"
"post_00152","2026-03-09","Facebook","Image","Synthetic social media update","#analytics #technology","12877","18674","1406","62","212","10816","44","15","neutral","3"
"post_00153","2025-02-23","Instagram","Short","Synthetic social media update","#business #news","27963","52932","1213","50","86","10648","38","13","negative","9"
"post_00154","2025-12-09","X/Twitter","Video","Synthetic social media update","#learning #community","15223","30438","1580","260","92","14116","55","18","negative","23"
"post_00155","2025-09-13","Instagram","Video","Synthetic social media update","#community #growth","11311","17974","864","127","115","13072","30","10","neutral","11"
"post_00156","2025-10-16","Facebook","Short","Synthetic social media update","#learning #growth","7440","10324","592","54","36","13468","19","6","neutral","2"
"post_00157","2025-04-30","Instagram","Image","Synthetic social media update","#business #growth","8511","21323","472","44","29","11440","15","5","negative","11"
"post_00158","2025-04-07","LinkedIn","Carousel","Synthetic social media update","#technology #business","17930","35770","656","110","48","11164","23","8","positive","8"
"post_00159","2025-08-15","YouTube","Image","Synthetic social media update","#news #business","23643","49193","1025","177","130","12724","36","12","positive","20"
"post_00160","2025-09-30","Facebook","Image","Synthetic social media update","#growth #business","21392","30753","1563","286","146","13276","55","18","neutral","0"
"post_00161","2025-04-22","Facebook","Live","Synthetic social media update","#business #news","9023","21533","868","66","93","11344","28","9","negative","3"
"post_00162","2026-01-11","LinkedIn","Text","Synthetic social media update","#learning #community","18963","47732","639","126","30","10132","23","8","negative","2"
"post_00163","2025-08-11","Facebook","Text","Synthetic social media update","#community #technology","26729","51112","2225","346","329","12676","77","26","positive","1"
"post_00164","2025-03-27","YouTube","Video","Synthetic social media update","#news #community","4060","9022","143","14","9","11032","5","2","neutral","22"
"post_00165","2026-03-05","YouTube","Live","Synthetic social media update","#news #growth","2287","5416","179","32","12","10768","6","2","neutral","15"
"post_00166","2025-09-08","X/Twitter","Reel","Synthetic social media update","#news #business","16898","41653","1387","238","185","13012","49","16","positive","14"
"post_00167","2025-02-17","YouTube","Image","Synthetic social media update","#community #business","28635","61556","2044","356","97","10576","72","24","negative","13"
"post_00168","2025-11-10","X/Twitter","Carousel","Synthetic social media update","#learning #analytics","5386","6597","269","41","12","13768","9","3","negative","6"
"post_00169","2025-12-23","Facebook","Image","Synthetic social media update","#news #marketing","15331","39486","983","159","40","14284","34","11","negative","10"
"post_00170","2025-04-22","Facebook","Carousel","Synthetic social media update","#learning #community","25622","49977","2042","134","86","11344","65","22","positive","12"
"post_00171","2025-12-15","X/Twitter","Text","Synthetic social media update","#growth #business","29076","72596","2759","267","283","14188","91","30","positive","7"
"post_00172","2026-03-10","X/Twitter","Short","Synthetic social media update","#analytics #growth","25011","40783","2116","169","126","10828","69","23","neutral","12"
"post_00173","2025-12-10","X/Twitter","Video","Synthetic social media update","#learning #growth","9910","13809","398","41","27","14128","13","4","positive","12"
"post_00174","2025-02-10","X/Twitter","Text","Synthetic social media update","#news #learning","15954","38887","523","88","69","10492","18","6","neutral","16"
"post_00175","2025-02-02","YouTube","Video","Synthetic social media update","#growth #learning","15570","25022","1146","189","142","10396","40","13","negative","3"
"post_00176","2025-06-19","LinkedIn","Short","Synthetic social media update","#community #analytics","23414","60041","720","98","59","12040","25","8","positive","20"
"post_00177","2025-07-07","Instagram","Carousel","Synthetic social media update","#news #business","7112","9583","410","24","28","12256","13","4","neutral","19"
"post_00178","2026-02-06","Facebook","Carousel","Synthetic social media update","#community #analytics","14218","31424","1051","144","95","10444","36","12","neutral","18"
"post_00179","2025-06-07","X/Twitter","Live","Synthetic social media update","#community #news","5559","12257","237","41","25","11896","8","3","negative","12"
"post_00180","2025-07-18","Facebook","Short","Synthetic social media update","#marketing #community","8830","16433","265","44","34","12388","9","3","positive","3"
"post_00181","2025-07-14","Facebook","Text","Synthetic social media update","#learning #news","9213","18200","950","127","48","12340","32","11","neutral","5"
"post_00182","2025-07-04","Instagram","Text","Synthetic social media update","#learning #analytics","15348","23552","1365","71","120","12220","43","14","positive","1"
"post_00183","2025-08-26","Facebook","Reel","Synthetic social media update","#business #technology","11323","19206","777","111","54","12856","27","9","neutral","10"
"post_00184","2025-12-14","LinkedIn","Live","Synthetic social media update","#marketing #business","10686","23124","1049","52","99","14176","33","11","neutral","5"
"post_00185","2025-09-18","X/Twitter","Image","Synthetic social media update","#technology #news","3914","7703","214","33","23","13132","7","2","neutral","12"
"post_00186","2026-02-25","YouTube","Reel","Synthetic social media update","#technology #analytics","19400","27126","1959","368","63","10672","70","23","neutral","19"
"post_00187","2025-05-04","YouTube","Short","Synthetic social media update","#technology #growth","14368","34903","1074","66","48","11488","34","11","positive","15"
"post_00188","2025-11-04","Facebook","Short","Synthetic social media update","#community #learning","14961","28396","1480","182","59","13696","50","17","negative","1"
"post_00189","2025-12-12","Instagram","Short","Synthetic social media update","#learning #news","16377","40966","1049","97","110","14152","34","11","negative","10"
"post_00190","2026-02-28","Instagram","Carousel","Synthetic social media update","#news #technology","29176","36345","1544","273","231","10708","55","18","negative","12"
"post_00191","2025-03-20","X/Twitter","Short","Synthetic social media update","#news #analytics","25843","64942","1493","198","146","10948","51","17","negative","18"
"post_00192","2025-06-16","LinkedIn","Reel","Synthetic social media update","#marketing #growth","2236","4462","108","14","17","12004","4","1","positive","0"
"post_00193","2025-04-16","Facebook","Video","Synthetic social media update","#business #community","21659","26734","1748","132","251","11272","56","19","neutral","4"
"post_00194","2025-01-03","Facebook","Image","Synthetic social media update","#news #technology","26374","67261","1102","100","154","10036","36","12","negative","4"
"post_00195","2026-01-21","LinkedIn","Text","Synthetic social media update","#growth #community","3326","7926","122","15","8","10252","4","1","positive","17"
"post_00196","2025-12-10","LinkedIn","Carousel","Synthetic social media update","#marketing #business","9946","14635","789","86","54","14128","26","9","negative","5"
"post_00197","2025-02-27","X/Twitter","Reel","Synthetic social media update","#growth #technology","23270","35029","2129","358","219","10696","75","25","negative","21"
"post_00198","2026-02-22","X/Twitter","Image","Synthetic social media update","#learning #analytics","6451","10910","414","77","14","10636","15","5","neutral","15"
"post_00199","2025-02-19","LinkedIn","Image","Synthetic social media update","#growth #analytics","13770","29040","561","44","20","10600","18","6","positive","6"
"post_00200","2025-11-24","Instagram","Text","Synthetic social media update","#business #community","2671","4657","110","10","16","13936","4","1","negative","7"
"post_00201","2025-05-09","LinkedIn","Image","Synthetic social media update","#marketing #technology","24886","58059","884","156","138","11548","31","10","negative","21"
"post_00202","2025-11-14","Facebook","Live","Synthetic social media update","#community #news","4288","6962","186","28","11","13816","6","2","neutral","15"
"post_00203","2025-08-27","X/Twitter","Live","Synthetic social media update","#business #technology","6113","10140","622","28","41","12868","20","6","negative","1"
"post_00204","2025-02-25","Instagram","Text","Synthetic social media update","#growth #marketing","11008","20306","459","86","18","10672","16","5","positive","8"
"post_00205","2025-05-10","YouTube","Video","Synthetic social media update","#community #news","17268","35908","958","50","40","11560","30","10","negative","21"
"post_00206","2025-07-30","Instagram","Text","Synthetic social media update","#learning #growth","23810","54343","1722","83","71","12532","54","18","negative","22"
"post_00207","2025-01-17","Facebook","Text","Synthetic social media update","#news #technology","23038","34761","1935","313","285","10204","67","22","negative","23"
"post_00208","2025-04-25","X/Twitter","Short","Synthetic social media update","#learning #analytics","11151","19601","558","68","27","11380","19","6","negative","20"
"post_00209","2026-01-08","LinkedIn","Text","Synthetic social media update","#learning #news","17972","27926","580","63","84","10096","19","6","neutral","19"
"post_00210","2025-02-13","LinkedIn","Carousel","Synthetic social media update","#technology #learning","10721","12991","932","132","86","10528","32","11","neutral","21"
"post_00211","2025-09-10","Instagram","Live","Synthetic social media update","#marketing #news","19576","34582","1933","182","224","13036","63","21","neutral","12"
"post_00212","2025-01-06","LinkedIn","Text","Synthetic social media update","#learning #growth","4143","5999","154","29","9","10072","5","2","negative","17"
"post_00213","2025-04-22","LinkedIn","Text","Synthetic social media update","#news #learning","26294","53491","1676","147","98","11344","55","18","neutral","15"
"post_00214","2025-10-08","Instagram","Image","Synthetic social media update","#business #marketing","9768","22598","798","42","127","13372","25","8","neutral","17"
"post_00215","2025-11-10","X/Twitter","Reel","Synthetic social media update","#business #growth","24302","43609","1092","69","88","13768","35","12","negative","5"
"post_00216","2025-12-26","Facebook","Carousel","Synthetic social media update","#analytics #community","19566","45089","1647","203","148","14320","56","18","positive","5"
"post_00217","2025-09-13","Instagram","Image","Synthetic social media update","#business #marketing","27659","56913","2980","488","157","13072","104","35","negative","11"
"post_00218","2025-01-06","LinkedIn","Carousel","Synthetic social media update","#technology #growth","2243","4579","153","16","23","10072","5","2","neutral","16"
